,Book-Title,Book-Author,Publisher,Year-Of-Publication,Image-URL-M
31,The Kitchen God's Wife,Amy Tan,Putnam Pub Group,1991,https://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg
103,The Testament,John Grisham,Dell,1999,https://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg
521,Beloved,Toni Morrison,Plume,1994,https://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg
775,Wild Animus,Rich Shapero,Too Far,2004,https://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg
3276,Airframe,Michael Crichton,Ballantine Books,1997,https://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg
3484,Timeline,MICHAEL CRICHTON,Ballantine Books,2000,https://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg
3958,To Kill a Mockingbird,Harper Lee,Little Brown &amp; Company,1988,https://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg
4350,Seabiscuit: An American Legend,LAURA HILLENBRAND,Ballantine Books,2002,https://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg
4592,Pigs in Heaven,Barbara Kingsolver,Harpercollins,1993,https://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg
4656,Pride and Prejudice,Jane Austen,Bantam,1983,https://images.amazon.com/images/P/055321215X.01.MZZZZZZZ.jpg
4703,Icebound,Dean R. Koontz,Bantam Books,2000,https://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg
4734,I'll Be Seeing You,Mary Higgins Clark,Pocket,1994,https://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg
4872,From the Corner of His Eye,Dean Koontz,Bantam Books,2001,https://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg
5035,Isle of Dogs,Patricia Cornwell,Berkley Publishing Group,2002,https://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg
5235,Purity in Death,J.D. Robb,Berkley Publishing Group,2002,https://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg
5531,The Street Lawyer,JOHN GRISHAM,Dell,1999,https://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg
6057,Breathing Lessons,Anne Tyler,Berkley Publishing Group,1994,https://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg
6230,The Joy Luck Club,Amy Tan,Prentice Hall (K-12),1994,https://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg
6808,The Tao of Pooh,Benjamin Hoff,Penguin Books,1983,https://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg
7000,Seabiscuit,LAURA HILLENBRAND,Ballantine Books,2003,https://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg
7478,The Catcher in the Rye,J.D. Salinger,"Little, Brown",1991,https://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg
7920,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,Random House,1994,https://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg
8184,Pretend You Don't See Her,Mary Higgins Clark,Pocket,1998,https://images.amazon.com/images/P/0671867156.01.MZZZZZZZ.jpg
8354,Fast Women,Jennifer Crusie,St. Martin's Press,2001,https://images.amazon.com/images/P/0312252617.01.MZZZZZZZ.jpg
8487,The Pillars of the Earth,Ken Follett,Signet Book,1996,https://images.amazon.com/images/P/0451166892.01.MZZZZZZZ.jpg
8838,The Five People You Meet in Heaven,Mitch Albom,Hyperion,2003,https://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg
9302,The Alibi,Sandra Brown,Warner Books,2000,https://images.amazon.com/images/P/0446608653.01.MZZZZZZZ.jpg
9389,The Beach House,James Patterson,Warner Books,2003,https://images.amazon.com/images/P/0446612545.01.MZZZZZZZ.jpg
9774,Angels and Demons,Dan Brown,Pocket Star,2001,https://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg
10554,The Girl Who Loved Tom Gordon,Stephen King,Pocket,2000,https://images.amazon.com/images/P/0671042858.01.MZZZZZZZ.jpg
11017,Little Altars Everywhere: A Novel,Rebecca Wells,Perennial,1996,https://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg
11521,Before I Say Good-Bye,Mary Higgins Clark,Pocket,2001,https://images.amazon.com/images/P/0671004573.01.MZZZZZZZ.jpg
